horizon_bars,horizon_label,horizon_minutes,bin,n,push_mean,response_mean,response_se
3,15 min,15,7,14675,0.0688911151783792,-0.007486656165439976,0.0038315088759846047
3,15 min,15,8,13525,0.13811790785890216,-0.005544459694028523,0.006068693867173209
3,15 min,15,9,16568,0.27179961810095815,-0.0069129667434532265,0.006227379072962431
3,15 min,15,10,17526,0.5772848055120847,-0.03162151996262721,0.008148069260324655
3,15 min,15,11,17406,1.5549395255702398,-0.048994384273671455,0.01210839468256054
6,30 min,30,1,8944,-1.5336757362689675,0.02031636899149025,0.01675581937701035
6,30 min,30,2,9395,-0.5514492560703449,0.022730950932417778,0.01093921038695987
6,30 min,30,3,9500,-0.23766852165154562,0.001489004530131137,0.009732922832177882
6,30 min,30,4,7761,-0.1078250377664834,0.004574837394791513,0.006439136028274981
6,30 min,30,5,10272,-0.03776000681988508,0.010074450084642675,0.004428046388136911
6,30 min,30,6,9210,0.009276773066115589,-0.006567025020549658,0.0059526354306448865
6,30 min,30,7,8600,0.05822700273059313,-0.002300413061874523,0.005037189454998969
6,30 min,30,8,8064,0.13611777328564323,-0.0034231171675722333,0.007148150026920451
6,30 min,30,9,8342,0.2816051704662357,-0.009614628268462436,0.009134813575493984
6,30 min,30,10,8647,0.5825779116346823,0.002453835382718711,0.012146285107646527
6,30 min,30,11,8689,1.5636007854758334,-0.029873485408575238,0.016283228335833233
12,1.0 hr,60,1,4447,-1.5682379869168768,-0.001166311558837001,0.02343073752819462
12,1.0 hr,60,2,4588,-0.5636975974062505,0.01669782532259635,0.016879192154856962
12,1.0 hr,60,3,4372,-0.2520240084220025,-0.00038997785553700816,0.012860094279972761
12,1.0 hr,60,4,4659,-0.10894073151566544,0.00030137450073493803,0.009114664101235834
12,1.0 hr,60,5,5132,-0.033289590918865894,0.000737038913332825,0.006150400036352556
12,1.0 hr,60,6,3400,0.006906741075740001,-0.0010914252218527528,0.006870522593481724
12,1.0 hr,60,7,4522,0.04785579745947097,0.0010360729455274748,0.007384133379061364
12,1.0 hr,60,8,4668,0.1298905895691643,0.0015407990728448341,0.008817190266859802
12,1.0 hr,60,9,4105,0.28414001383730764,0.008027638612755444,0.013523270914806273
