datetime,equity,drawdown
2007-11-02 18:25:00,106024.40000000023,-1211.6999999999825
2007-11-02 18:30:00,106024.40000000023,-1211.6999999999825
2007-11-02 18:35:00,105894.40000000023,-1341.6999999999825
2007-11-02 18:40:00,105834.40000000023,-1401.6999999999825
2007-11-02 18:45:00,105914.40000000023,-1321.6999999999825
2007-11-02 18:50:00,105854.40000000024,-1381.699999999968
2007-11-02 18:55:00,105854.40000000024,-1381.699999999968
2007-11-02 19:00:00,105894.40000000023,-1341.6999999999825
2007-11-02 19:05:00,105874.40000000023,-1361.6999999999825
2007-11-02 19:10:00,105874.40000000023,-1361.6999999999825
2007-11-02 19:15:00,105874.40000000023,-1361.6999999999825
2007-11-02 19:20:00,105934.40000000023,-1301.6999999999825
2007-11-02 19:25:00,105924.40000000023,-1311.6999999999825
2007-11-02 19:30:00,105864.40000000023,-1371.6999999999825
2007-11-05 14:05:00,105202.30000000022,-2033.7999999999884
2007-11-05 14:10:00,105202.30000000022,-2033.7999999999884
2007-11-05 14:15:00,105202.30000000022,-2033.7999999999884
2007-11-05 14:20:00,105202.30000000022,-2033.7999999999884
2007-11-05 14:25:00,105202.30000000022,-2033.7999999999884
2007-11-05 14:30:00,105202.30000000022,-2033.7999999999884
2007-11-05 14:35:00,105202.30000000022,-2033.7999999999884
2007-11-05 14:40:00,105202.30000000022,-2033.7999999999884
2007-11-05 14:45:00,105202.30000000022,-2033.7999999999884
2007-11-05 14:50:00,105202.30000000022,-2033.7999999999884
2007-11-05 14:55:00,105202.30000000022,-2033.7999999999884
2007-11-05 15:00:00,105202.30000000022,-2033.7999999999884
2007-11-05 15:05:00,105202.30000000022,-2033.7999999999884
2007-11-05 15:10:00,105202.30000000022,-2033.7999999999884
2007-11-05 15:15:00,105202.30000000022,-2033.7999999999884
2007-11-05 15:20:00,105202.30000000022,-2033.7999999999884
2007-11-05 15:25:00,105202.30000000022,-2033.7999999999884
2007-11-05 15:30:00,105202.30000000022,-2033.7999999999884
2007-11-05 15:35:00,105202.30000000022,-2033.7999999999884
2007-11-05 15:40:00,105202.30000000022,-2033.7999999999884
2007-11-05 15:45:00,105202.30000000022,-2033.7999999999884
2007-11-05 15:50:00,105202.30000000022,-2033.7999999999884
2007-11-05 15:55:00,105202.30000000022,-2033.7999999999884
2007-11-05 16:00:00,105202.30000000022,-2033.7999999999884
2007-11-05 16:05:00,105202.30000000022,-2033.7999999999884
2007-11-05 16:10:00,105202.30000000022,-2033.7999999999884
2007-11-05 16:15:00,105202.30000000022,-2033.7999999999884
2007-11-05 16:20:00,105202.30000000022,-2033.7999999999884
2007-11-05 16:25:00,105202.30000000022,-2033.7999999999884
2007-11-05 16:30:00,105202.30000000022,-2033.7999999999884
2007-11-05 16:35:00,105202.30000000022,-2033.7999999999884
2007-11-05 16:40:00,105202.30000000022,-2033.7999999999884
2007-11-05 16:45:00,105202.30000000022,-2033.7999999999884
2007-11-05 16:50:00,105202.30000000022,-2033.7999999999884
2007-11-05 16:55:00,105202.30000000022,-2033.7999999999884
2007-11-05 17:00:00,105202.30000000022,-2033.7999999999884
2007-11-05 17:05:00,105202.30000000022,-2033.7999999999884
2007-11-05 17:10:00,105202.30000000022,-2033.7999999999884
2007-11-05 17:15:00,105172.30000000022,-2063.7999999999884
2007-11-05 17:20:00,105042.30000000022,-2193.7999999999884
2007-11-05 17:25:00,105082.3000000002,-2153.800000000003
2007-11-05 17:30:00,104932.30000000022,-2303.7999999999884
2007-11-05 17:35:00,104882.30000000022,-2353.7999999999884
2007-11-05 17:40:00,104982.30000000022,-2253.7999999999884
2007-11-05 17:45:00,104972.30000000022,-2263.7999999999884
2007-11-05 17:50:00,104812.30000000022,-2423.7999999999884
2007-11-05 17:55:00,104802.30000000022,-2433.7999999999884
2007-11-05 18:00:00,104762.30000000024,-2473.799999999974
2007-11-05 18:05:00,104862.30000000024,-2373.799999999974
2007-11-05 18:10:00,105022.30000000024,-2213.799999999974
2007-11-05 18:15:00,104882.30000000025,-2353.7999999999593
2007-11-05 18:20:00,104612.30000000024,-2623.799999999974
2007-11-05 18:25:00,104632.30000000025,-2603.7999999999593
2007-11-05 18:30:00,104632.30000000025,-2603.7999999999593
2007-11-05 18:35:00,104592.30000000025,-2643.7999999999593
2007-11-05 18:40:00,104602.30000000025,-2633.7999999999593
2007-11-05 18:45:00,104902.30000000025,-2333.7999999999593
2007-11-05 18:50:00,104762.30000000025,-2473.7999999999593
2007-11-05 18:55:00,104299.20000000024,-2936.899999999965
2007-11-05 19:00:00,104299.20000000024,-2936.899999999965
2007-11-05 19:05:00,104299.20000000024,-2936.899999999965
2007-11-05 19:10:00,104299.20000000024,-2936.899999999965
2007-11-05 19:15:00,104299.20000000024,-2936.899999999965
2007-11-05 19:20:00,104299.20000000024,-2936.899999999965
2007-11-05 19:25:00,104299.20000000024,-2936.899999999965
2007-11-05 19:30:00,104299.20000000024,-2936.899999999965
2007-11-06 14:05:00,104219.20000000024,-3016.899999999965
2007-11-06 14:10:00,104339.20000000024,-2896.899999999965
2007-11-06 14:15:00,104469.20000000024,-2766.899999999965
2007-11-06 14:20:00,104459.20000000026,-2776.8999999999505
2007-11-06 14:25:00,104529.20000000026,-2706.8999999999505
2007-11-06 14:30:00,104519.20000000026,-2716.8999999999505
2007-11-06 14:35:00,104389.20000000026,-2846.8999999999505
2007-11-06 14:40:00,104479.20000000026,-2756.8999999999505
2007-11-06 14:45:00,104479.20000000026,-2756.8999999999505
2007-11-06 14:50:00,104369.20000000026,-2866.8999999999505
2007-11-06 14:55:00,104349.20000000026,-2886.8999999999505
2007-11-06 15:00:00,104329.20000000024,-2906.899999999965
2007-11-06 15:05:00,104379.20000000026,-2856.8999999999505
2007-11-06 15:10:00,104369.20000000026,-2866.8999999999505
2007-11-06 15:15:00,104569.20000000026,-2666.8999999999505
2007-11-06 15:20:00,104799.20000000024,-2436.899999999965
2007-11-06 15:25:00,104979.20000000024,-2256.899999999965
2007-11-06 15:30:00,104909.20000000023,-2326.8999999999796
2007-11-06 15:35:00,104939.20000000023,-2296.8999999999796
2007-11-06 15:40:00,104889.20000000023,-2346.8999999999796
2007-11-06 15:45:00,105059.20000000023,-2176.8999999999796
2007-11-06 15:50:00,105139.20000000023,-2096.8999999999796
2007-11-06 15:55:00,104979.20000000023,-2256.8999999999796
2007-11-06 16:00:00,105039.20000000023,-2196.8999999999796
2007-11-06 16:05:00,105119.20000000023,-2116.8999999999796
2007-11-06 16:10:00,105059.20000000023,-2176.8999999999796
2007-11-06 16:15:00,105019.20000000023,-2216.8999999999796
2007-11-06 16:20:00,104959.20000000024,-2276.899999999965
2007-11-06 16:25:00,105249.20000000023,-1986.8999999999796
2007-11-06 16:30:00,105359.20000000023,-1876.8999999999796
2007-11-06 16:35:00,105269.20000000023,-1966.8999999999796
2007-11-06 16:40:00,105179.20000000024,-2056.899999999965
2007-11-06 16:45:00,105059.20000000024,-2176.899999999965
2007-11-06 16:50:00,104979.20000000024,-2256.899999999965
2007-11-06 16:55:00,104909.20000000023,-2326.8999999999796
2007-11-06 17:00:00,104819.20000000024,-2416.899999999965
2007-11-06 17:05:00,104889.20000000024,-2346.899999999965
2007-11-06 17:10:00,104929.20000000024,-2306.899999999965
2007-11-06 17:15:00,104969.20000000023,-2266.8999999999796
2007-11-06 17:20:00,104879.20000000024,-2356.899999999965
2007-11-06 17:25:00,105069.20000000024,-2166.899999999965
2007-11-06 17:30:00,104989.20000000024,-2246.899999999965
2007-11-06 17:35:00,105019.20000000023,-2216.8999999999796
2007-11-06 17:40:00,104829.20000000023,-2406.8999999999796
2007-11-06 17:45:00,104889.20000000023,-2346.8999999999796
2007-11-06 17:50:00,104999.20000000023,-2236.8999999999796
2007-11-06 17:55:00,105099.20000000024,-2136.899999999965
2007-11-06 18:00:00,105309.20000000024,-1926.899999999965
2007-11-06 18:05:00,105269.20000000024,-1966.899999999965
2007-11-06 18:10:00,105259.20000000026,-1976.8999999999505
2007-11-06 18:15:00,105329.20000000026,-1906.8999999999505
2007-11-06 18:20:00,105379.20000000027,-1856.899999999936
2007-11-06 18:25:00,105239.20000000027,-1996.899999999936
2007-11-06 18:30:00,105229.20000000027,-2006.899999999936
2007-11-06 18:35:00,105139.20000000027,-2096.899999999936
2007-11-06 18:40:00,105189.20000000027,-2046.899999999936
2007-11-06 18:45:00,105169.20000000027,-2066.899999999936
2007-11-06 18:50:00,105119.20000000027,-2116.899999999936
2007-11-06 18:55:00,105049.20000000026,-2186.8999999999505
2007-11-06 19:00:00,105019.20000000026,-2216.8999999999505
2007-11-06 19:05:00,105099.20000000027,-2136.899999999936
2007-11-06 19:10:00,105039.20000000027,-2196.899999999936
2007-11-06 19:15:00,104849.20000000027,-2386.899999999936
2007-11-06 19:20:00,105359.20000000026,-1876.8999999999505
2007-11-06 19:25:00,105369.20000000026,-1866.8999999999505
2007-11-06 19:30:00,105119.20000000026,-2116.8999999999505
2007-11-07 14:05:00,106099.20000000026,-1136.8999999999505
2007-11-07 14:10:00,106039.20000000026,-1196.8999999999505
2007-11-07 14:15:00,106119.20000000026,-1116.8999999999505
2007-11-07 14:20:00,106159.20000000024,-1076.899999999965
2007-11-07 14:25:00,106189.20000000024,-1046.899999999965
2007-11-07 14:30:00,106159.20000000024,-1076.899999999965
2007-11-07 14:35:00,106199.20000000024,-1036.899999999965
2007-11-07 14:40:00,106129.20000000024,-1106.899999999965
2007-11-07 14:45:00,106009.20000000024,-1226.899999999965
2007-11-07 14:50:00,105879.20000000024,-1356.899999999965
2007-11-07 14:55:00,105869.20000000024,-1366.899999999965
2007-11-07 15:00:00,105929.20000000024,-1306.899999999965
2007-11-07 15:05:00,105999.20000000024,-1236.899999999965
2007-11-07 15:10:00,106049.20000000024,-1186.899999999965
2007-11-07 15:15:00,106009.20000000026,-1226.8999999999505
2007-11-07 15:20:00,106099.20000000026,-1136.8999999999505
2007-11-07 15:25:00,106099.20000000026,-1136.8999999999505
2007-11-07 15:30:00,105305.80000000026,-1930.2999999999447
2007-11-07 15:35:00,105105.80000000026,-2130.2999999999447
2007-11-07 15:40:00,105035.80000000025,-2200.2999999999593
2007-11-07 15:45:00,104885.80000000025,-2350.2999999999593
2007-11-07 15:50:00,104559.60000000025,-2676.4999999999563
2007-11-07 15:55:00,104559.60000000025,-2676.4999999999563
2007-11-07 16:00:00,104559.60000000025,-2676.4999999999563
2007-11-07 16:05:00,104559.60000000025,-2676.4999999999563
2007-11-07 16:10:00,104559.60000000025,-2676.4999999999563
2007-11-07 16:15:00,104559.60000000025,-2676.4999999999563
2007-11-07 16:20:00,104559.60000000025,-2676.4999999999563
2007-11-07 16:25:00,104559.60000000025,-2676.4999999999563
2007-11-07 16:30:00,104559.60000000025,-2676.4999999999563
2007-11-07 16:35:00,104559.60000000025,-2676.4999999999563
2007-11-07 16:40:00,104559.60000000025,-2676.4999999999563
2007-11-07 16:45:00,104559.60000000025,-2676.4999999999563
2007-11-07 16:50:00,104559.60000000025,-2676.4999999999563
2007-11-07 16:55:00,104559.60000000025,-2676.4999999999563
2007-11-07 17:00:00,104559.60000000025,-2676.4999999999563
2007-11-07 17:05:00,104559.60000000025,-2676.4999999999563
2007-11-07 17:10:00,104559.60000000025,-2676.4999999999563
2007-11-07 17:15:00,104559.60000000025,-2676.4999999999563
2007-11-07 17:20:00,104559.60000000025,-2676.4999999999563
2007-11-07 17:25:00,104559.60000000025,-2676.4999999999563
2007-11-07 17:30:00,104559.60000000025,-2676.4999999999563
2007-11-07 17:35:00,104559.60000000025,-2676.4999999999563
2007-11-07 17:40:00,104559.60000000025,-2676.4999999999563
2007-11-07 17:45:00,104559.60000000025,-2676.4999999999563
2007-11-07 17:50:00,104559.60000000025,-2676.4999999999563
2007-11-07 17:55:00,104559.60000000025,-2676.4999999999563
2007-11-07 18:00:00,104559.60000000025,-2676.4999999999563
2007-11-07 18:05:00,104559.60000000025,-2676.4999999999563
2007-11-07 18:10:00,104559.60000000025,-2676.4999999999563
2007-11-07 18:15:00,104559.60000000025,-2676.4999999999563
2007-11-07 18:20:00,104559.60000000025,-2676.4999999999563
2007-11-07 18:25:00,104559.60000000025,-2676.4999999999563
2007-11-07 18:30:00,104559.60000000025,-2676.4999999999563
2007-11-07 18:35:00,104559.60000000025,-2676.4999999999563
2007-11-07 18:40:00,104559.60000000025,-2676.4999999999563
2007-11-07 18:45:00,104559.60000000025,-2676.4999999999563
2007-11-07 18:50:00,104559.60000000025,-2676.4999999999563
2007-11-07 18:55:00,104559.60000000025,-2676.4999999999563
2007-11-07 19:00:00,104559.60000000025,-2676.4999999999563
2007-11-07 19:05:00,104559.60000000025,-2676.4999999999563
2007-11-07 19:10:00,104559.60000000025,-2676.4999999999563
2007-11-07 19:15:00,104559.60000000025,-2676.4999999999563
2007-11-07 19:20:00,104559.60000000025,-2676.4999999999563
2007-11-07 19:25:00,104559.60000000025,-2676.4999999999563
2007-11-07 19:30:00,104559.60000000025,-2676.4999999999563
2007-11-08 14:05:00,104559.60000000025,-2676.4999999999563
2007-11-08 14:10:00,104559.60000000025,-2676.4999999999563
2007-11-08 14:15:00,104319.60000000025,-2916.4999999999563
2007-11-08 14:20:00,104519.60000000025,-2716.4999999999563
2007-11-08 14:25:00,104599.60000000025,-2636.4999999999563
2007-11-08 14:30:00,104549.60000000025,-2686.4999999999563
2007-11-08 14:35:00,104559.60000000024,-2676.499999999971
2007-11-08 14:40:00,104409.60000000025,-2826.4999999999563
2007-11-08 14:45:00,104339.60000000024,-2896.499999999971
2007-11-08 14:50:00,104169.60000000024,-3066.499999999971
2007-11-08 14:55:00,104249.60000000024,-2986.499999999971
2007-11-08 15:00:00,104409.60000000025,-2826.4999999999563
2007-11-08 15:05:00,104209.60000000025,-3026.4999999999563
2007-11-08 15:10:00,104209.60000000025,-3026.4999999999563
2007-11-08 15:15:00,104179.60000000025,-3056.4999999999563
2007-11-08 15:20:00,104279.60000000025,-2956.4999999999563
2007-11-08 15:25:00,104199.60000000025,-3036.4999999999563
2007-11-08 15:30:00,104309.60000000025,-2926.4999999999563
2007-11-08 15:35:00,104379.60000000027,-2856.499999999942
2007-11-08 15:40:00,104229.60000000027,-3006.499999999942
2007-11-08 15:45:00,104349.60000000027,-2886.499999999942
2007-11-08 15:50:00,104479.60000000027,-2756.499999999942
2007-11-08 15:55:00,104239.60000000027,-2996.499999999942
2007-11-08 16:00:00,104409.60000000027,-2826.499999999942
2007-11-08 16:05:00,104339.60000000025,-2896.4999999999563
2007-11-08 16:10:00,104479.60000000025,-2756.4999999999563
2007-11-08 16:15:00,104519.60000000025,-2716.4999999999563
2007-11-08 16:20:00,104619.60000000025,-2616.4999999999563
2007-11-08 16:25:00,104619.60000000025,-2616.4999999999563
2007-11-08 16:30:00,104369.60000000025,-2866.4999999999563
2007-11-08 16:35:00,104209.60000000025,-3026.4999999999563
2007-11-08 16:40:00,104069.60000000025,-3166.4999999999563
2007-11-08 16:45:00,103789.60000000025,-3446.4999999999563
2007-11-08 16:50:00,103672.00000000026,-3564.0999999999476
2007-11-08 16:55:00,103672.00000000026,-3564.0999999999476
2007-11-08 17:00:00,103672.00000000026,-3564.0999999999476
2007-11-08 17:05:00,103672.00000000026,-3564.0999999999476
2007-11-08 17:10:00,103672.00000000026,-3564.0999999999476
2007-11-08 17:15:00,103672.00000000026,-3564.0999999999476
2007-11-08 17:20:00,103672.00000000026,-3564.0999999999476
2007-11-08 17:25:00,103672.00000000026,-3564.0999999999476
2007-11-08 17:30:00,103672.00000000026,-3564.0999999999476
2007-11-08 17:35:00,103672.00000000026,-3564.0999999999476
2007-11-08 17:40:00,103672.00000000026,-3564.0999999999476
2007-11-08 17:45:00,103672.00000000026,-3564.0999999999476
2007-11-08 17:50:00,103672.00000000026,-3564.0999999999476
2007-11-08 17:55:00,103672.00000000026,-3564.0999999999476
2007-11-08 18:00:00,103672.00000000026,-3564.0999999999476
2007-11-08 18:05:00,103672.00000000026,-3564.0999999999476
2007-11-08 18:10:00,103672.00000000026,-3564.0999999999476
2007-11-08 18:15:00,103672.00000000026,-3564.0999999999476
2007-11-08 18:20:00,103672.00000000026,-3564.0999999999476
2007-11-08 18:25:00,103672.00000000026,-3564.0999999999476
2007-11-08 18:30:00,103672.00000000026,-3564.0999999999476
2007-11-08 18:35:00,103672.00000000026,-3564.0999999999476
2007-11-08 18:40:00,103672.00000000026,-3564.0999999999476
2007-11-08 18:45:00,103672.00000000026,-3564.0999999999476
2007-11-08 18:50:00,103672.00000000026,-3564.0999999999476
2007-11-08 18:55:00,103672.00000000026,-3564.0999999999476
2007-11-08 19:00:00,103672.00000000026,-3564.0999999999476
2007-11-08 19:05:00,103672.00000000026,-3564.0999999999476
2007-11-08 19:10:00,103672.00000000026,-3564.0999999999476
2007-11-08 19:15:00,103672.00000000026,-3564.0999999999476
2007-11-08 19:20:00,103672.00000000026,-3564.0999999999476
2007-11-08 19:25:00,103672.00000000026,-3564.0999999999476
2007-11-08 19:30:00,103672.00000000026,-3564.0999999999476
2007-11-09 14:05:00,103672.00000000026,-3564.0999999999476
2007-11-09 14:10:00,103672.00000000026,-3564.0999999999476
2007-11-09 14:15:00,103672.00000000026,-3564.0999999999476
2007-11-09 14:20:00,103672.00000000026,-3564.0999999999476
2007-11-09 14:25:00,103672.00000000026,-3564.0999999999476
2007-11-09 14:30:00,103672.00000000026,-3564.0999999999476
2007-11-09 14:35:00,103672.00000000026,-3564.0999999999476
2007-11-09 14:40:00,103672.00000000026,-3564.0999999999476
2007-11-09 14:45:00,103672.00000000026,-3564.0999999999476
2007-11-09 14:50:00,103672.00000000026,-3564.0999999999476
2007-11-09 14:55:00,103672.00000000026,-3564.0999999999476
2007-11-09 15:00:00,103672.00000000026,-3564.0999999999476
2007-11-09 15:05:00,103672.00000000026,-3564.0999999999476
2007-11-09 15:10:00,103672.00000000026,-3564.0999999999476
2007-11-09 15:15:00,103672.00000000026,-3564.0999999999476
2007-11-09 15:20:00,103672.00000000026,-3564.0999999999476
2007-11-09 15:25:00,103672.00000000026,-3564.0999999999476
2007-11-09 15:30:00,103672.00000000026,-3564.0999999999476
2007-11-09 15:35:00,103672.00000000026,-3564.0999999999476
2007-11-09 15:40:00,103672.00000000026,-3564.0999999999476
2007-11-09 15:45:00,103672.00000000026,-3564.0999999999476
2007-11-09 15:50:00,103672.00000000026,-3564.0999999999476
2007-11-09 15:55:00,103672.00000000026,-3564.0999999999476
2007-11-09 16:00:00,103672.00000000026,-3564.0999999999476
2007-11-09 16:05:00,103672.00000000026,-3564.0999999999476
2007-11-09 16:10:00,103672.00000000026,-3564.0999999999476
2007-11-09 16:15:00,103672.00000000026,-3564.0999999999476
2007-11-09 16:20:00,103672.00000000026,-3564.0999999999476
2007-11-09 16:25:00,103672.00000000026,-3564.0999999999476
2007-11-09 16:30:00,103672.00000000026,-3564.0999999999476
2007-11-09 16:35:00,103672.00000000026,-3564.0999999999476
2007-11-09 16:40:00,103672.00000000026,-3564.0999999999476
2007-11-09 16:45:00,103672.00000000026,-3564.0999999999476
2007-11-09 16:50:00,103672.00000000026,-3564.0999999999476
2007-11-09 16:55:00,103672.00000000026,-3564.0999999999476
2007-11-09 17:00:00,103672.00000000026,-3564.0999999999476
2007-11-09 17:05:00,103672.00000000026,-3564.0999999999476
2007-11-09 17:10:00,103672.00000000026,-3564.0999999999476
2007-11-09 17:15:00,103672.00000000026,-3564.0999999999476
2007-11-09 17:20:00,103672.00000000026,-3564.0999999999476
2007-11-09 17:25:00,103672.00000000026,-3564.0999999999476
2007-11-09 17:30:00,103672.00000000026,-3564.0999999999476
2007-11-09 17:35:00,103672.00000000026,-3564.0999999999476
2007-11-09 17:40:00,103672.00000000026,-3564.0999999999476
2007-11-09 17:45:00,103672.00000000026,-3564.0999999999476
2007-11-09 17:50:00,103672.00000000026,-3564.0999999999476
2007-11-09 17:55:00,103672.00000000026,-3564.0999999999476
2007-11-09 18:00:00,103672.00000000026,-3564.0999999999476
2007-11-09 18:05:00,103672.00000000026,-3564.0999999999476
2007-11-09 18:10:00,103672.00000000026,-3564.0999999999476
2007-11-09 18:15:00,103672.00000000026,-3564.0999999999476
2007-11-09 18:20:00,103672.00000000026,-3564.0999999999476
2007-11-09 18:25:00,103672.00000000026,-3564.0999999999476
2007-11-09 18:30:00,103672.00000000026,-3564.0999999999476
2007-11-09 18:35:00,103672.00000000026,-3564.0999999999476
2007-11-09 18:40:00,103672.00000000026,-3564.0999999999476
2007-11-09 18:45:00,103672.00000000026,-3564.0999999999476
2007-11-09 18:50:00,103672.00000000026,-3564.0999999999476
2007-11-09 18:55:00,103672.00000000026,-3564.0999999999476
2007-11-09 19:00:00,103672.00000000026,-3564.0999999999476
2007-11-09 19:05:00,103672.00000000026,-3564.0999999999476
2007-11-09 19:10:00,103672.00000000026,-3564.0999999999476
2007-11-09 19:15:00,103672.00000000026,-3564.0999999999476
2007-11-09 19:20:00,103672.00000000026,-3564.0999999999476
2007-11-09 19:25:00,103672.00000000026,-3564.0999999999476
2007-11-09 19:30:00,103672.00000000026,-3564.0999999999476
2007-11-12 14:05:00,103672.00000000026,-3564.0999999999476
2007-11-12 14:10:00,103672.00000000026,-3564.0999999999476
2007-11-12 14:15:00,103672.00000000026,-3564.0999999999476
2007-11-12 14:20:00,103672.00000000026,-3564.0999999999476
2007-11-12 14:25:00,103672.00000000026,-3564.0999999999476
2007-11-12 14:30:00,103672.00000000026,-3564.0999999999476
2007-11-12 14:35:00,103672.00000000026,-3564.0999999999476
2007-11-12 14:40:00,103672.00000000026,-3564.0999999999476
2007-11-12 14:45:00,103672.00000000026,-3564.0999999999476
2007-11-12 14:50:00,103672.00000000026,-3564.0999999999476
2007-11-12 14:55:00,103672.00000000026,-3564.0999999999476
2007-11-12 15:00:00,103672.00000000026,-3564.0999999999476
2007-11-12 15:05:00,103672.00000000026,-3564.0999999999476
2007-11-12 15:10:00,103672.00000000026,-3564.0999999999476
2007-11-12 15:15:00,103672.00000000026,-3564.0999999999476
2007-11-12 15:20:00,103672.00000000026,-3564.0999999999476
2007-11-12 15:25:00,103672.00000000026,-3564.0999999999476
2007-11-12 15:30:00,103672.00000000026,-3564.0999999999476
2007-11-12 15:35:00,103672.00000000026,-3564.0999999999476
2007-11-12 15:40:00,103672.00000000026,-3564.0999999999476
2007-11-12 15:45:00,103672.00000000026,-3564.0999999999476
2007-11-12 15:50:00,103672.00000000026,-3564.0999999999476
2007-11-12 15:55:00,103672.00000000026,-3564.0999999999476
2007-11-12 16:00:00,103672.00000000026,-3564.0999999999476
2007-11-12 16:05:00,103672.00000000026,-3564.0999999999476
2007-11-12 16:10:00,103672.00000000026,-3564.0999999999476
2007-11-12 16:15:00,103672.00000000026,-3564.0999999999476
2007-11-12 16:20:00,103672.00000000026,-3564.0999999999476
2007-11-12 16:25:00,103672.00000000026,-3564.0999999999476
2007-11-12 16:30:00,103672.00000000026,-3564.0999999999476
2007-11-12 16:35:00,103672.00000000026,-3564.0999999999476
2007-11-12 16:40:00,103672.00000000026,-3564.0999999999476
2007-11-12 16:45:00,103672.00000000026,-3564.0999999999476
2007-11-12 16:50:00,103672.00000000026,-3564.0999999999476
2007-11-12 16:55:00,103672.00000000026,-3564.0999999999476
2007-11-12 17:00:00,103672.00000000026,-3564.0999999999476
2007-11-12 17:05:00,103672.00000000026,-3564.0999999999476
2007-11-12 17:10:00,103672.00000000026,-3564.0999999999476
2007-11-12 17:15:00,103672.00000000026,-3564.0999999999476
2007-11-12 17:20:00,103672.00000000026,-3564.0999999999476
2007-11-12 17:25:00,103672.00000000026,-3564.0999999999476
2007-11-12 17:30:00,103672.00000000026,-3564.0999999999476
2007-11-12 17:35:00,103672.00000000026,-3564.0999999999476
2007-11-12 17:40:00,103672.00000000026,-3564.0999999999476
2007-11-12 17:45:00,103672.00000000026,-3564.0999999999476
2007-11-12 17:50:00,103672.00000000026,-3564.0999999999476
2007-11-12 17:55:00,103672.00000000026,-3564.0999999999476
2007-11-12 18:00:00,103672.00000000026,-3564.0999999999476
2007-11-12 18:05:00,103672.00000000026,-3564.0999999999476
